Name,Artist,Album,Genre,Song Length,Release Year,Date Added,Play Count,Skip Count,Rating
Amiga-ish,Barry Leitch,Rush 2: Extreme Racing USA,Game,10:02,1998,11/13/2023,1,1,5
Doin' Tyme,Barry Leitch,Rush 2: Extreme Racing USA,Game,06:54,1998,11/13/2023,1,1,5
Drumsnhula,Barry Leitch,Rush 2: Extreme Racing USA,Game,05:02,1998,11/13/2023,0,1,5
Headthumpin,Barry Leitch,Rush 2: Extreme Racing USA,Game,05:35,1998,11/13/2023,1,0,5
High Roll,Barry Leitch,Rush 2: Extreme Racing USA,Game,07:42,1998,11/13/2023,0,0,5
Low Rydin',Barry Leitch,Rush 2: Extreme Racing USA,Game,05:23,1998,11/13/2023,1,0,5
Menu,Barry Leitch,Rush 2: Extreme Racing USA,Game,02:44,1998,11/13/2023,1,1,5
Tinkletoon,Barry Leitch,Rush 2: Extreme Racing USA,Game,05:58,1998,11/13/2023,1,1,5
Title,Barry Leitch,Rush 2: Extreme Racing USA,Game,05:21,1998,11/13/2023,0,1,5
Tournament Ending (Failure),Barry Leitch,Rush 2: Extreme Racing USA,Game,01:34,1998,11/13/2023,2,1,5
Tournament Ending (Success),Barry Leitch,Rush 2: Extreme Racing USA,Game,02:07,1998,11/13/2023,1,0,5
Diddy Kong Racing Theme,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:11,1998,11/13/2023,1,0,5
Character Select,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:31,1998,11/13/2023,0,1,4
Central Area Introduction,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:05,1998,11/13/2023,0,0,4
Central Area Themes,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:37,1998,11/13/2023,0,0,4
Lobby Theme Tune,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:53,1998,11/13/2023,1,1,4
T.T.'s Theme,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:26,1998,11/13/2023,0,1,4
Ancient Lake,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:31,1998,11/13/2023,1,0,4
Fossil Canyon,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:45,1998,11/13/2023,1,0,4
Jungle Falls,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:19,1998,11/13/2023,0,0,4
Hot Top Volcano,David Wise,Diddy Kong Racing Original Soundtrack,Game,03:12,1998,11/13/2023,2,1,4
No Entry,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:06,1998,11/13/2023,0,0,4
Win the Golden Balloon,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:19,1998,11/13/2023,0,0,4
Boss Challenge 2,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:34,1998,11/13/2023,0,0,4
Everfrost Peak,David Wise,Diddy Kong Racing Original Soundtrack,Game,03:15,1998,11/13/2023,0,0,4
Walrus Cove,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:51,1998,11/13/2023,0,0,4
Frosty Village,David Wise,Diddy Kong Racing Original Soundtrack,Game,03:36,1998,11/13/2023,0,0,4
Taj's Theme,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:29,1998,11/13/2023,0,1,4
Taj's Challenge,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:45,1998,11/13/2023,3,1,4
Whale Bay,David Wise,Diddy Kong Racing Original Soundtrack,Game,03:33,1998,11/13/2023,1,0,4
Pirate Lagoon,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:34,1998,11/13/2023,0,0,4
Crescent Island,David Wise,Diddy Kong Racing Original Soundtrack,Game,03:03,1998,11/13/2023,0,0,4
Open Boss Door,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:35,1998,11/13/2023,0,0,4
Meet a Boss,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:46,1998,11/13/2023,2,1,4
Boss Challenge,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:27,1998,11/13/2023,0,0,4
Lost Against Boss,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:36,1998,11/13/2023,0,1,4
Boulder Canyon,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:56,1998,11/13/2023,0,0,4
Greenwood Village,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:42,1998,11/13/2023,0,1,4
Haunted Woods,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:26,1998,11/13/2023,3,0,4
Win Challenge Amulet,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:08,1998,11/13/2023,0,0,4
Win a Piece of the Amulet,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:06,1998,11/13/2023,1,0,4
Win Amulet,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:15,1998,11/13/2023,1,0,4
Star City,David Wise,Diddy Kong Racing Original Soundtrack,Game,03:23,1998,11/13/2023,0,0,4
Spaceport Alpha,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:31,1998,11/13/2023,0,1,4
The Secret Tune,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:13,1998,11/13/2023,0,3,4
You Can't Beat Me,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:21,1998,11/13/2023,1,0,4
Wizpig Challenge,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:28,1998,11/13/2023,0,0,4
Wizpig Lose 1,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:08,1998,11/13/2023,0,0,4
Wizpig Lose 2,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:10,1998,11/13/2023,1,0,4
Think You've Won?,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:39,1998,11/13/2023,0,1,4
Open Wizpig Door,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:20,1998,11/13/2023,2,0,4
Wizpig in Space,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:45,1998,11/13/2023,1,0,4
Celebration,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:38,1998,11/13/2023,2,0,4
Antarctica,Hands Like Houses,Ground Dweller,Post Hardcore,04:06,2012,11/13/2023,4,2,4
"Don't Look Now, I'm Being Followed, Act Normal",Hands Like Houses,Ground Dweller,Post Hardcore,03:13,2012,11/13/2023,27,0,5
This Ain't No Place for Animals,Hands Like Houses,Ground Dweller,Post Hardcore,04:07,2012,11/13/2023,3,1,3
Spineless Crow,Hands Like Houses,Ground Dweller,Post Hardcore,03:33,2012,11/13/2023,7,2,3
Starving to Death in the Belly of a Whale,Hands Like Houses,Ground Dweller,Post Hardcore,03:33,2012,11/13/2023,28,2,5
A Clown and His Pipe,Hands Like Houses,Ground Dweller,Post Hardcore,03:27,2012,11/13/2023,8,2,3
The Definition of Not Leaving,Hands Like Houses,Ground Dweller,Post Hardcore,02:28,2012,11/13/2023,6,0,3
Lion Skin,Hands Like Houses,Ground Dweller,Post Hardcore,04:19,2012,11/13/2023,8,0,3
One Hundred,Hands Like Houses,Ground Dweller,Post Hardcore,03:28,2012,11/13/2023,6,0,3
Watchmaker,Hands Like Houses,Ground Dweller,Post Hardcore,04:01,2012,11/13/2023,6,2,3
The Sower,Hands Like Houses,Ground Dweller,Post Hardcore,04:05,2012,11/13/2023,8,3,3
Have Yourself a Merry Little Christmas,Relient K,Let it Snow Baby... Let it Reindeer,Christmas,02:11,2007,11/13/2023,1,1,3
Sleigh Ride,Relient K,Let it Snow Baby... Let it Reindeer,Christmas,03:32,2007,11/13/2023,1,1,3
"Merry Christmas, Here's to Many More",Relient K,Let it Snow Baby... Let it Reindeer,Christmas,03:51,2007,11/13/2023,2,0,3
Angels We Have Heard on High,Relient K,Let it Snow Baby... Let it Reindeer,Christmas,01:55,2007,11/13/2023,0,0,3
Deck the Halls,Relient K,Let it Snow Baby... Let it Reindeer,Christmas,01:21,2007,11/13/2023,0,1,3
12 Days of Christmas,Relient K,Let it Snow Baby... Let it Reindeer,Christmas,03:33,2007,11/13/2023,0,1,3
Remember Everything,Five Finger Death Punch,American Capitalist,Metal,04:38,2011,11/13/2023,58,7,5
Breathing Underwater,Hollywood Principle,Rocket League OST,EDM,04:37,2015,11/13/2023,76,5,5
King Of The World,Young Rising Sons,Young Rising Sons,Alternative,03:24,2014,11/13/2023,59,23,5
Up to the Minute,猫 シ Corp.,Sunday Television,LoFi,01:11,2019,11/13/2023,14,4,5
To Suit Your Lifestyle,猫 シ Corp.,Sunday Television,LoFi,01:31,2019,11/13/2023,12,3,5
Current Regional Conditions,猫 シ Corp.,Sunday Television,LoFi,03:12,2019,11/13/2023,10,1,5
American Express Card,猫 シ Corp.,Sunday Television,LoFi,00:54,2019,11/13/2023,12,2,5
Weekend Travel Forecast,猫 シ Corp.,Sunday Television,LoFi,02:07,2019,11/13/2023,12,4,5
Commercialized,猫 シ Corp.,Sunday Television,LoFi,00:41,2019,11/13/2023,10,3,5
This is the Weather Channel,猫 シ Corp.,Sunday Television,LoFi,01:53,2019,11/13/2023,7,3,5
Citrus for you,猫 シ Corp.,Sunday Television,LoFi,00:21,2019,11/13/2023,14,1,5
Information from Across the Nation,猫 シ Corp.,Sunday Television,LoFi,01:55,2019,11/13/2023,8,5,5
Sponsored by...,猫 シ Corp.,Sunday Television,LoFi,02:15,2019,11/13/2023,7,2,5
Iced Tea,猫 シ Corp.,Sunday Television,LoFi,00:34,2019,11/13/2023,9,0,5
TECHNICAL DIFFICULTIES,猫 シ Corp.,Sunday Television,LoFi,01:22,2019,11/13/2023,7,3,5
Informercial Lifestyle,猫 シ Corp.,Sunday Television,LoFi,01:45,2019,11/13/2023,8,2,5
Dedicated Viewer,猫 シ Corp.,Sunday Television,LoFi,04:00,2019,11/13/2023,9,4,5
Afternoon Programme,猫 シ Corp.,Sunday Television,LoFi,02:37,2019,11/13/2023,5,3,5
TV Guide,猫 シ Corp.,Sunday Television,LoFi,00:48,2019,11/13/2023,11,3,5
This is our Final Show,猫 シ Corp.,Sunday Television,LoFi,02:01,2019,11/13/2023,11,2,5
Sign off good night,猫 シ Corp.,Sunday Television,LoFi,00:37,2019,11/13/2023,11,8,5
Up All Night,Oliver Tank,Dreams,Electronic,03:10,2011,11/13/2023,52,4,5
Embrace (feat. Fawn Myers),Oliver Tank,Dreams,Electronic,04:05,2011,11/13/2023,49,2,4
Last Night I Heard Everything in Slow Motion,Oliver Tank,Dreams,Electronic,03:44,2011,11/13/2023,61,1,5
I Love You,Oliver Tank,Dreams,Electronic,03:17,2011,11/13/2023,58,0,5
The Last Time,Oliver Tank,Dreams,Electronic,03:35,2011,11/13/2023,55,6,5
Grain of Sand (feat. Fawn Myers),Oliver Tank,Dreams,Electronic,04:08,2011,11/13/2023,2,2,3
Tonight (bonus track),Oliver Tank,Dreams,Electronic,02:52,2011,11/13/2023,1,1,3
My Secrets Have Secrets Too,Search The City,Flight,Rock,01:04,2013,11/13/2023,58,0,5
Syndicated Reality,Search The City,Flight,Rock,03:20,2013,11/13/2023,52,0,5
Heartstrings,Search The City,Flight,Rock,04:00,2013,11/13/2023,66,1,5
Whispers And Memories,Search The City,Flight,Rock,03:10,2013,11/13/2023,50,0,5
The Runaways,Search The City,Flight,Rock,03:41,2013,11/13/2023,54,0,5
Young Hearts,Search The City,Flight,Rock,04:01,2013,11/13/2023,43,2,4
Light The Fire,Search The City,Flight,Rock,03:34,2013,11/13/2023,45,0,5
A Beautiful Mess,Search The City,Flight,Rock,03:18,2013,11/13/2023,51,0,5
Rewrite The Ending,Search The City,Flight,Rock,02:34,2013,11/13/2023,52,0,5
One Last Lullaby,Search The City,Flight,Rock,03:35,2013,11/13/2023,47,0,5
Get A Grip,Search The City,Flight,Rock,03:03,2013,11/13/2023,46,0,5
Watch The Stars Fall,Search The City,Flight,Rock,04:26,2013,11/13/2023,46,1,5
歓迎,VHS Dreams,North Point Mall [Anniversary Edition],Electronic,01:56,2018,11/13/2023,13,4,5
North Point Mall ノースポイントモール,VHS Dreams,North Point Mall [Anniversary Edition],Electronic,04:18,2018,11/13/2023,11,2,4
Coffee Time コーヒータイム,VHS Dreams,North Point Mall [Anniversary Edition],Electronic,02:41,2018,11/13/2023,8,3,4
ファッションモード,VHS Dreams,North Point Mall [Anniversary Edition],Electronic,02:26,2018,11/13/2023,5,1,4
1階,VHS Dreams,North Point Mall [Anniversary Edition],Electronic,00:52,2018,11/13/2023,10,2,4
Discount Weekend 割引の週末,VHS Dreams,North Point Mall [Anniversary Edition],Electronic,03:01,2018,11/13/2023,8,3,4
Buy Now! 今すぐ購入,VHS Dreams,North Point Mall [Anniversary Edition],Electronic,02:44,2018,11/13/2023,9,1,4
Meet her at the Plaza プラザで彼女に会う,VHS Dreams,North Point Mall [Anniversary Edition],Electronic,03:44,2018,11/13/2023,8,0,4
エグジット,VHS Dreams,North Point Mall [Anniversary Edition],Electronic,00:52,2018,11/13/2023,7,4,4
Intro,HOME,Odyssey,Electronic,03:09,2014,11/13/2023,8,1,4
Native,HOME,Odyssey,Electronic,04:02,2014,11/13/2023,11,2,4
Decay,HOME,Odyssey,Electronic,04:11,2014,11/13/2023,8,2,4
Oort Cloud,HOME,Odyssey,Electronic,03:25,2014,11/13/2023,6,2,5
Tides,HOME,Odyssey,Electronic,03:57,2014,11/13/2023,5,3,4
Nights (I Wish I Could Be There),HOME,Odyssey,Electronic,03:05,2014,11/13/2023,3,2,4
Odyssey,HOME,Odyssey,Electronic,06:09,2014,11/13/2023,5,1,5
New Machines,HOME,Odyssey,Electronic,02:57,2014,11/13/2023,7,1,5
Resonance,HOME,Odyssey,Electronic,03:32,2014,11/13/2023,9,2,4
Come Back Down,HOME,Odyssey,Electronic,04:53,2014,11/13/2023,8,3,4
Half Moon,HOME,Odyssey,Electronic,04:21,2014,11/13/2023,6,0,4
On The Way Out,HOME,Odyssey,Electronic,04:01,2014,11/13/2023,3,3,4
I Miss You,Dan Mason,Void,LoFi,04:20,2018,11/13/2023,18,1,5
Now or Never (You and Me),Dan Mason,Void,LoFi,04:46,2018,11/13/2023,19,1,4
Heartache,Dan Mason,Void,LoFi,03:21,2018,11/13/2023,19,1,4
Wishful Thinking,Dan Mason,Void,LoFi,04:52,2018,11/13/2023,15,2,4
New Life,Dan Mason,Void,LoFi,03:30,2018,11/13/2023,21,0,4
Pain Reliever,Dan Mason,Void,LoFi,04:28,2018,11/13/2023,14,3,4
Fantasy,Dan Mason,Void,LoFi,03:04,2018,11/13/2023,13,1,4
Maybe One Day,Dan Mason,Void,LoFi,03:39,2018,11/13/2023,13,1,4
Void,Dan Mason,Void,LoFi,03:44,2018,11/13/2023,12,0,4
Title Theme,Polygon Dream,Ｚｅｌｄａｗａｖｅ // 近藤 浩治 // OOT,LoFi,02:29,2017,11/13/2023,101,5,5
開始 // Great Fairy's Fountain,Polygon Dream,Ｚｅｌｄａｗａｖｅ // 近藤 浩治 // OOT,LoFi,02:15,2017,11/13/2023,100,2,5
迷いの森 // S a r i a,Polygon Dream,Ｚｅｌｄａｗａｖｅ // 近藤 浩治 // OOT,LoFi,03:10,2017,11/13/2023,93,2,5
Zelda's Lullaby,Polygon Dream,Ｚｅｌｄａｗａｖｅ // 近藤 浩治 // OOT,LoFi,02:20,2017,11/13/2023,90,5,5
Zora's Domain,Polygon Dream,Ｚｅｌｄａｗａｖｅ // 近藤 浩治 // OOT,LoFi,01:50,2017,11/13/2023,101,2,5
シーク (Sheik's Theme),Polygon Dream,Ｚｅｌｄａｗａｖｅ // 近藤 浩治 // OOT,LoFi,02:02,2017,11/13/2023,98,1,5
Song of Storms,Polygon Dream,Ｚｅｌｄａｗａｖｅ // 近藤 浩治 // OOT,LoFi,02:18,2017,11/13/2023,98,4,5
Staff Credits // 終わり,Polygon Dream,Ｚｅｌｄａｗａｖｅ // 近藤 浩治 // OOT,LoFi,04:21,2017,11/13/2023,95,5,5
Insomnia,Dan Mason,Hypnagogia,LoFi,04:07,2019,11/13/2023,2,0,4
Melatonin High,Dan Mason,Hypnagogia,LoFi,05:17,2019,11/13/2023,4,1,4
Shade,Dan Mason,Hypnagogia,LoFi,03:16,2019,11/13/2023,3,1,4
Fade,Dan Mason,Hypnagogia,LoFi,04:02,2019,11/13/2023,4,0,4
Go Away,Dan Mason,Hypnagogia,LoFi,03:24,2019,11/13/2023,2,1,4
Visions,Dan Mason,Hypnagogia,LoFi,04:27,2019,11/13/2023,2,0,4
Stop Me,Dan Mason,Hypnagogia,LoFi,05:18,2019,11/13/2023,0,0,4
Good Night,Dan Mason,Hypnagogia,LoFi,03:41,2019,11/13/2023,1,0,4
Hopefully Forever,Dan Mason,Hypnagogia,LoFi,06:20,2019,11/13/2023,1,0,4
Tricolore Airline,Hatsune Miku,Tricolore Airline,Vocaloid,03:30,2013,11/13/2023,22,1,5
Reverie,softy,The Beauty Around Us,LoFi,02:24,2020,11/13/2023,148,4,5
Moonflowers,softy,The Beauty Around Us,LoFi,02:36,2020,11/13/2023,138,3,5
Hiding Place,softy,The Beauty Around Us,LoFi,02:21,2020,11/13/2023,133,5,5
Cloud Cover,softy,The Beauty Around Us,LoFi,02:46,2020,11/13/2023,132,6,5
Lakeview,softy,The Beauty Around Us,LoFi,02:56,2020,11/13/2023,125,2,5
Skylark,softy,The Beauty Around Us,LoFi,02:33,2020,11/13/2023,143,2,5
Until The Morning Comes,softy,The Beauty Around Us,LoFi,02:17,2020,11/13/2023,125,1,5
The Overlook,softy,The Beauty Around Us,LoFi,02:48,2020,11/13/2023,119,6,5
Constellation,softy,The Beauty Around Us,LoFi,02:04,2020,11/13/2023,112,5,5
Daisies,softy,The Beauty Around Us,LoFi,02:58,2020,11/13/2023,121,3,5
Back in the Game,Airbourne,Black Dog Barking,Metal,03:26,2013,11/13/2023,31,6,5
Letters in Wonderland,Atlantis Awaits,Dying to Live,Metal,04:14,2013,11/13/2023,26,6,4
Rebirth,Atlantis Awaits,Dying to Live,Metal,03:43,2013,11/13/2023,30,13,3
Sing to Me,Before Their Eyes,Untouchable,Rock,03:04,2010,11/13/2023,34,5,4
The Ruse and the Caper,Coyote Theory,Color,Rock,04:46,2011,11/13/2023,49,1,5
One Step at a Time,Four Year Strong,Enemy of the World,Rock,03:27,2010,11/13/2023,39,7,4
Mountian Sound,Of Monters and Men,My Head is an Animal,Alternative,03:31,2011,11/13/2023,78,4,5
Relief,Wolves at the Gate,VxV,Metal,03:22,2014,11/13/2023,30,9,4
Sim Broadway,Jerry Martin,SimCity 3000 OST,Video Game Music,06:07,1999,11/13/2023,1,1,5
Building,Jerry Martin,SimCity 3000 OST,Video Game Music,06:03,1999,11/13/2023,1,1,4
Magic City,Jerry Martin,SimCity 3000 OST,Video Game Music,06:11,1999,11/13/2023,2,1,5
New Terrain,Jerry Martin,SimCity 3000 OST,Video Game Music,05:46,1999,11/13/2023,2,0,5
Updown Town,Jerry Martin,SimCity 3000 OST,Video Game Music,03:45,1999,11/13/2023,2,2,4
Night Life,Jerry Martin,SimCity 3000 OST,Video Game Music,06:32,1999,11/13/2023,2,1,3
Power Grid,Jerry Martin,SimCity 3000 OST,Video Game Music,05:48,1999,11/13/2023,1,0,3
Infrastructure,Jerry Martin,SimCity 3000 OST,Video Game Music,07:12,1999,11/13/2023,0,1,4
Concrete Jungle,Jerry Martin,SimCity 3000 OST,Video Game Music,07:07,1999,11/13/2023,1,2,4
Illumination,Jerry Martin,SimCity 3000 OST,Video Game Music,07:49,1999,11/13/2023,3,1,5
Building,Jerry Martin,SimCity 3000 OST,Video Game Music,06:01,1999,11/13/2023,3,1,4
Central Park Sunday,Jerry Martin,SimCity 3000 OST,Video Game Music,05:29,1999,11/13/2023,1,1,3
City Lights,Jerry Martin,SimCity 3000 OST,Video Game Music,05:02,1999,11/13/2023,1,1,3
City of Dreams,Jerry Martin,SimCity 3000 OST,Video Game Music,05:08,1999,11/13/2023,1,1,5
Concrete Jungle,Jerry Martin,SimCity 3000 OST,Video Game Music,07:00,1999,11/13/2023,1,1,4
Desert Sand,Jerry Martin,SimCity 3000 OST,Video Game Music,04:49,1999,11/13/2023,2,0,3
Illumination,Jerry Martin,SimCity 3000 OST,Video Game Music,07:47,1999,11/13/2023,0,1,5
Infrastructure,Jerry Martin,SimCity 3000 OST,Video Game Music,07:06,1999,11/13/2023,0,1,4
Magic City,Jerry Martin,SimCity 3000 OST,Video Game Music,06:06,1999,11/13/2023,0,0,5
New Terrain,Jerry Martin,SimCity 3000 OST,Video Game Music,05:41,1999,11/13/2023,1,0,5
Night Life,Jerry Martin,SimCity 3000 OST,Video Game Music,06:28,1999,11/13/2023,0,1,3
Power Grid,Jerry Martin,SimCity 3000 OST,Video Game Music,05:44,1999,11/13/2023,0,0,3
SimCity 3000 Theme,Jerry Martin,SimCity 3000 OST,Video Game Music,00:22,1999,11/13/2023,0,1,5
Sixth Floor,Jerry Martin,SimCity 3000 OST,Video Game Music,04:49,1999,11/13/2023,0,1,3
South Bridge,Jerry Martin,SimCity 3000 OST,Video Game Music,06:38,1999,11/13/2023,0,1,5
The Howling Wind,Jerry Martin,SimCity 3000 OST,Video Game Music,06:38,1999,11/13/2023,2,0,3
Updown Town,Jerry Martin,SimCity 3000 OST,Video Game Music,03:42,1999,11/13/2023,0,2,4
Urban Complex,Jerry Martin,SimCity 3000 OST,Video Game Music,06:29,1999,11/13/2023,0,2,5
Window Washer's Dream,Jerry Martin,SimCity 3000 OST,Video Game Music,04:59,1999,11/13/2023,0,1,5
Everything I Know,Actual Villains,Actual Villains,Rock,04:02,2016,11/13/2023,32,1,5
Blossom,Alazka,Blossom,Rock,04:29,2016,11/13/2023,30,4,5
Hide and Seek,Amber Run,Spark EP,Cover Music,04:43,2014,11/13/2023,35,4,5
Lightning in the Sky,Devour the Day,S.O.A.R,Rock,03:24,2016,11/13/2023,28,1,4
Promise,Ben Howard,Every Kingdom,Rock,06:18,2011,11/13/2023,27,6,4
Fight the Silence,For Today,Fight the Silence,Metal,03:38,2014,11/13/2023,32,3,5
Wild Summers,Goodnight Neverland,Old Tree,Alternative,04:21,2014,11/13/2023,44,1,4
Last Man Stranded,In Fear and Faith,In Fear and Faith,Metal,03:33,2012,11/13/2023,34,1,5
P.O.W. (Power of Will),"My City, My Secret",A.I.,Metal,03:59,2014,11/13/2023,20,6,4
Vultrues and Sharks,Oceans Ate Alaska,Lost Isles,Metal,03:38,2015,11/13/2023,21,0,4
Infamous Last Words,Tear Out the Heart,Violence,Metal,03:41,2013,11/13/2023,34,9,5
I Loved,The Elijah,I Loved I Hated I Created I Destroyed,Alternative,05:40,2012,11/13/2023,30,5,4
Not Thinking of You,The Royal,Not Thinking of You,Alternative,03:46,2015,11/13/2023,37,1,5
Sooner or Later,Confide,Confide,Metal,03:49,2013,11/13/2023,23,8,4
My Curse (Piano Cover),Sean Townsend,Chillswitch Engage,Cover Music,04:39,2019,11/13/2023,97,4,5
The Arms of Sorrow (Piano Cover),Sean Townsend,Chillswitch Engage,Cover Music,05:26,2019,11/13/2023,94,4,5
This Fire Burns (Piano Cover),Sean Townsend,Chillswitch Engage,Cover Music,05:18,2019,11/13/2023,85,2,5
The End of Heartache (Piano Cover),Sean Townsend,Chillswitch Engage,Cover Music,05:51,2019,11/13/2023,71,3,5
Fall for You,Secondhand Serenade,A Twist In My Story (Bonus Track Version),Alternative,03:03,2008,11/13/2023,13,2,5
Goodbye,Secondhand Serenade,A Twist In My Story (Bonus Track Version),Alternative,05:26,2008,11/13/2023,11,2,5
"Stay Close, Don't Go",Secondhand Serenade,A Twist In My Story (Bonus Track Version),Alternative,03:33,2008,11/13/2023,7,6,5
Why,Secondhand Serenade,A Twist In My Story (Bonus Track Version),Alternative,04:13,2008,11/13/2023,8,3,5
Your Call,Secondhand Serenade,A Twist In My Story (Bonus Track Version),Alternative,03:54,2008,11/13/2023,7,0,5
Listen to Your Heart,The Maine,Black & White (Deluxe Version),Pop,03:15,2010,11/13/2023,15,3,5
Right Girl,The Maine,Black & White (Deluxe Version),Pop,03:36,2010,11/13/2023,12,3,5
N64 Covers - FamilyJules7x - Diddy Kong Racing Christmas Medley Feat. TheDelRe,FamilyJules7x,N64 Covers,Video Game Music,03:46,2011,11/13/2023,10,5,4
N64 Covers - FamilyJules7x - Legend of Zelda Ocarina of Time Ending Theme,FamilyJules7x,N64 Covers,Video Game Music,05:19,2012,11/13/2023,10,5,4
Six Feet Under the Stars,All Time Low,"So Wrong, It's Right (Bonus Track Version)",Alternative,03:36,2007,11/13/2023,16,1,4
A Tale of Outer Suburbia,Hands Like Houses,Unimagine,Hard Rock,04:21,2013,11/13/2023,17,3,5
Introduced Species,Hands Like Houses,Unimagine,Hard Rock,04:04,2013,11/13/2023,16,1,5
No Parallels,Hands Like Houses,Unimagine,Hard Rock,03:37,2013,11/13/2023,17,5,5
Secret Valentine,We the Kings,We the Kings,Alternative,03:28,2007,11/13/2023,16,1,5
Skyway Avenue,We the Kings,We the Kings,Alternative,03:25,2007,11/13/2023,17,1,5
A Metal Tribute to the History of Video Games,FamilyJules7x,Year 3,Video Game Music,17:02,2014,11/13/2023,1,3,4
I Want That for You,3 Pill Morning,Black Tie Love Affair,Rock,03:36,2012,11/13/2023,34,3,4
It's All on U,ILLENIUM,Ashes,EDM,03:24,2016,11/13/2023,38,2,5
But Does it Djent?,Jared Dines,But Does it Djent?,Metal,03:30,2015,11/13/2023,22,7,4
Carry On,Young Rising Sons,Carry On,Indie Rock,03:27,2017,11/13/2023,30,4,4
Ghost (feat. Martin Broda),Crystalyne,The Remedy,EDM,03:06,2013,11/13/2023,19,11,4
Un Año Más,Deny,Invencible,Hispanic Acoustic,04:41,2014,11/13/2023,33,2,5
Elusive Reasons,"Time, The Valuator",Elusive Reasons,Metal,04:25,2016,11/13/2023,23,1,5
Fearless,For Today,Immortal,Metal,04:14,2012,11/13/2023,23,8,4
Skin & Bones,Fit for a King,Creation | Destruction,Metal,03:56,2013,11/13/2023,43,2,5
Waiting,Foxworth Hall,Foxworth Hall,Acoustic,03:46,2015,11/13/2023,24,4,4
I Found,Amber Run,5AM,Acoustic,04:33,2015,11/13/2023,30,2,5
II,Athletics,Who You Are Is Not Enough,Rock,09:15,2014,11/13/2023,75,1,5
Just My Soul Responding,Amber Run,5AM,Alternative,03:59,2015,11/13/2023,32,2,5
Machine,Born of Osiris,Tomorrow We Die Alive,Metal,04:30,2013,11/13/2023,23,4,4
Snowglobe,OWEL,OWEL,Electronic,07:36,2013,11/13/2023,24,5,4
Sunset,Secret Eyes,Comatose,Rock,03:06,2015,11/13/2023,45,1,5
The Precipice,The Classic Crime,Phoenix,Acoustic,03:38,2012,11/13/2023,35,4,4
Lonesome,softy,Lonesome - Single,LoFi,02:35,2021,11/13/2023,67,5,5
"Slow Ride, Kaspa",softy,Distant Images,LoFi,02:36,2021,11/13/2023,68,4,5
"Hideaway, Mondo Loops",softy,Distant Images,LoFi,02:35,2021,11/13/2023,80,3,5
"Evergreen, Lucid Green",softy,Distant Images,LoFi,02:53,2021,11/13/2023,79,3,5
"Blue Lining, Mondo Loops",softy,Distant Images,LoFi,02:25,2021,11/13/2023,78,4,5
"Glimpses, Lucid Green",softy,Distant Images,LoFi,02:55,2021,11/13/2023,70,4,5
"Solstice, Pointy Features",softy,Distant Images,LoFi,01:56,2021,11/13/2023,72,6,5
"Inside All Day, Hoogway",softy,Distant Images,LoFi,02:45,2021,11/13/2023,74,4,5
Homesick,softy,Distant Images,LoFi,02:48,2021,11/13/2023,70,5,5
"After All, Hoogway",softy,Distant Images,LoFi,02:17,2021,11/13/2023,74,3,5
"Contrasts, Kaspa",softy,Distant Images,LoFi,02:51,2021,11/13/2023,66,2,5
"Sundown, Celestial Alignment",softy,Distant Images,LoFi,02:45,2021,11/13/2023,63,2,5
"Close To, Refeeld",softy,Distant Images,LoFi,02:31,2021,11/13/2023,62,2,5
Against the Sun,Rookit,Against the Sun,EDM,03:32,2014,11/13/2023,19,5,4
